Image_ID,True_Label,Predicted_Label
dd13a401a9a05f41,Normal,Normal
19dbc205619e2a2d,Normal,Normal
f300f968d026de3e,Normal,Normal
0ac4a5e488248581,Normal,Normal
df81bb25ac4faab6,Normal,Normal
f84b2520160052ec,Normal,Normal
4dc43439e324e7fa,Normal,Normal
b1764b5c55d7ed5e,Normal,Normal
15f4c7c58667873c,Normal,Normal
a99c3d8eff9134c2,Normal,Normal
1ac6f74d8db7908e,Normal,Normal
7a33db6b7ff55f48,Normal,Normal
00640b2509f3c543,Normal,Normal
70b4b9004b937c3b,Normal,Normal
a1d18eb5554a5523,Normal,Normal
4b17423d69b6c153,Normal,Normal
0fd599d31b54814d,Normal,Normal
b96b89325c7a481f,Normal,Normal
4f82bf1760517a64,Normal,Normal
ebe9121ff22685c8,Normal,Normal
14c76aaf97570d8f,Normal,Normal
3acb7d96b82df0ee,Normal,Normal
a12408b84ef26037,Normal,Normal
9ea020047b50d9ea,Normal,Normal
98a208242283132e,Normal,Normal
2baecd7ce0a85683,Normal,Normal
3cc5ede413025595,Normal,Normal
6dc5abd1c0d89964,Normal,Normal
f514bd3bb556764c,Normal,Normal
b501ff375b552225,Normal,Normal
949356f88d1bc424,Normal,Normal
e96f42d2e2ee3aeb,Normal,Normal
ae1061afb9445228,Normal,Normal
12337fbdb02f11e7,Normal,Normal
46cbb748d26ba1d4,Normal,Normal
a14cc7eadb5ad57e,Normal,Normal
829494f510c16e8c,Normal,Normal
8b94e0c6bafba5e2,Normal,Normal
57730d60853430f8,Normal,Normal
fd7229a7012f58f6,Normal,Normal
a0bacb336a6537b9,Normal,Normal
8ffd88cf7aa50ca1,Normal,Normal
e0b45003712e9dfc,Normal,Normal
ece8ff64f8de2e58,Normal,Normal
6fe84155a3bcc6d0,Normal,Normal
027744488059445e,Normal,Normal
7753f00f4d908e44,Normal,Normal
5a855780b0a26585,Normal,Normal
d7823b82b42b32a8,Normal,Normal
461063dcfde88219,Normal,Normal
45f6276291c2bf1c,Normal,Normal
16f61760c4dc0129,Normal,Normal
f51ea17240981e28,Normal,Normal
9ac0dd541e3a2f96,Normal,Normal
c41643d705814edd,Normal,Normal
163281c572042261,Normal,Normal
24dd2bb25af16d38,Normal,Normal
8018adf2e6b77cd1,Normal,Normal
ab2fe27a91fd8af6,Normal,Normal
bddae9b78a383fda,Normal,Normal
0de51d3553f86343,Normal,Normal
c2373eec66cbe420,Normal,Normal
63404472469fe930,Normal,Normal
2e4f34355a15b3f2,Normal,Normal
19c8151fdd3fbfdb,Normal,Normal
5ee8fa786c02936a,Normal,Normal
5eac0571c23ce6b8,Normal,Normal
ca587888ac3390ce,Normal,Normal
6f4792f325facc97,Normal,Normal
0268dd5f82b16991,Normal,Normal
67862d3430a5b870,Normal,Normal
0d66225767c3946d,Normal,Normal
361a27206749d253,Normal,Normal
c9f351a6b1e0fb8d,Normal,Normal
b60fea0c78f8eecc,Normal,Normal
a80a6898ac3c7f36,Normal,Normal
b4897cec43dda763,Normal,Normal
9e5799d919538c7c,Normal,Normal
953206f07c9f053a,Normal,Normal
90a5d0f1977544d7,Normal,Normal
6fbc51996eb37982,Normal,Normal
2e7fd81f979ff5fa,Normal,Normal
a2a769c97a73a838,Normal,Normal
5ba8c6338adc62ea,Normal,Normal
9535108fe6947f76,Normal,Normal
5824a928ff8550e9,Normal,Normal
e18473e29acaaf0a,Normal,Normal
9ac3d10d6b38523d,Normal,Normal
d7b28e4a193d96ba,Normal,Normal
65e4639bf1078bb9,Normal,Normal
d259ec19b0284e08,Normal,Normal
34d5c27df37210d0,Normal,Normal
b2c7081d1ceb8396,Normal,Normal
ee63efeb7599e764,Normal,Normal
cb3ea8ab761aa87e,Normal,Normal
